 [0]: Zostałem postrzelony, Chcę naprawę, lamport = 0
 [1]: Zostałem postrzelony, Chcę naprawę, lamport = 0
 [0]: Wysyłam Potrzebe doku do 0, lamport = 1
 [0]: Wysyłam Potrzebe doku do 1, lamport = 1
 [0]: Wysyłam Potrzebe doku do 2, lamport = 1
 [0]: Wysyłam Potrzebe doku do 3, lamport = 1
 [0]: Wysyłam Potrzebe doku do 4, lamport = 1
 [1]: Wysyłam Potrzebe doku do 0, lamport = 1
 [1]: Wysyłam Potrzebe doku do 1, lamport = 1
 [0]: Wysyłam Potrzebe doku do 5, lamport = 1
 [0]: Wysyłam Potrzebe doku do 6, lamport = 1
 [0]: Wysyłam Potrzebe doku do 7, lamport = 1
 [0]: Żądanie o dok poszło do wszystkich, Chcę dostęp do sekcji krytycznej 1, lamport = 1
 [1]: Wysyłam Potrzebe doku do 2, lamport = 1
 [1]: Wysyłam Potrzebe doku do 3, lamport = 1
 [1]: Wysyłam Potrzebe doku do 4, lamport = 1
 [1]: Wysyłam Potrzebe doku do 5, lamport = 1
 [1]: Wysyłam Potrzebe doku do 6, lamport = 1
 [1]: Wysyłam Potrzebe doku do 7, lamport = 1
 [1]: Żądanie o dok poszło do wszystkich, Chcę dostęp do sekcji krytycznej 1, lamport = 1
 [0]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [0]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [2]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [2]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [3]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [3]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [5]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [5]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [1]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [1]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [6]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [6]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [7]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [7]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
 [4]: Otrzymałem Potrzebe doku od 0, lamport = 2
 [4]: Wysyłam Potwierdzenie o Doku do 0, lamport = 2
